size, np, run, time_seconds
 200,  4,   1,   0.015608
 200,  4,   2,   0.015764
 200,  4,   3,   0.013351
 200,  4,   4,   0.006441
 200,  4,   5,   0.013686
 200,  4,   6,   0.012789
 200,  4,   7,   0.012037
 200,  4,   8,   0.015653
 200,  4,   9,   0.017670
 200,  4,  10,   0.027146
 200,  4,  11,   0.015140
 200,  4,  12,   0.019308
 200,  4,  13,   0.012589
 200,  4,  14,   0.016962
 200,  4,  15,   0.015373
 200,  4,  16,   0.011549
 200,  4,  17,   0.016888
 200,  4,  18,   0.016607
 200,  4,  19,   0.013430
 200,  4,  20,   0.014347
 200,  4,  21,   0.015756
 200,  4,  22,   0.017144
 200,  4,  23,   0.016393
 200,  4,  24,   0.020475
 200,  4,  25,   0.004421
 200,  4,  26,   0.004681
 200,  4,  27,   0.019387
 200,  4,  28,   0.019763
 200,  4,  29,   0.014106
 200,  4,  30,   0.016117
 200, 20,   1,   1.073256
 200, 20,   2,   0.706121
 200, 20,   3,   0.564923
 200, 20,   4,   1.682886
 200, 20,   5,   0.830397
 200, 20,   6,   1.063789
 200, 20,   7,   0.795066
 200, 20,   8,   0.677349
 200, 20,   9,   1.469675
 200, 20,  10,   0.620938
 200, 20,  11,   1.151399
 200, 20,  12,   0.842531
 200, 20,  13,   0.661100
 200, 20,  14,   0.978493
 200, 20,  15,   0.936275
 200, 20,  16,   0.742933
 200, 20,  17,   1.045174
 200, 20,  18,   0.580263
 200, 20,  19,   0.714754
 200, 20,  20,   1.052977
 200, 20,  21,   1.290510
 200, 20,  22,   0.847253
 200, 20,  23,   0.509403
 200, 20,  24,   0.706389
 200, 20,  25,   0.582270
 200, 20,  26,   0.781524
 200, 20,  27,   0.629885
 200, 20,  28,   0.537856
 200, 20,  29,   1.891065
 200, 20,  30,   0.804631200
 400,  4,   1,   0.086233
 400,  4,   2,   0.074879
 400,  4,   3,   0.097843
 400,  4,   4,   0.095126
 400,  4,   5,   0.087129
 400,  4,   6,   0.092747
 400,  4,   7,   0.083516
 400,  4,   8,   0.084287
 400,  4,   9,   0.078323
 400,  4,  10,   0.096670
 400,  4,  11,   0.082971
 400,  4,  12,   0.095665
 400,  4,  13,   0.087655
 400,  4,  14,   0.084106
 400,  4,  15,   0.096119
 400,  4,  16,   0.084649
 400,  4,  17,   0.081091
 400,  4,  18,   0.061992
 400,  4,  19,   0.091019
 400,  4,  20,   0.104382
 400,  4,  21,   0.087861
 400,  4,  22,   0.094437
 400,  4,  23,   0.100018
 400,  4,  24,   0.094878
 400,  4,  25,   0.080519
 400,  4,  26,   0.058129
 400,  4,  27,   0.078256
 400,  4,  28,   0.087819
 400,  4,  29,   0.081576
 400,  4,  30,   0.073600
 400, 20,   1,   1.825719
 400, 20,   2,   1.816925
 400, 20,   3,   1.928301
 400, 20,   4,   1.989402
 400, 20,   5,   1.702259
 400, 20,   6,   2.598902
 400, 20,   7,   1.927009
 400, 20,   8,   1.678741
 400, 20,   9,   1.965631
 400, 20,  10,   1.717193
 400, 20,  11,   2.426894
 400, 20,  12,   1.965826
 400, 20,  13,   1.852783
 400, 20,  14,   2.083751
 400, 20,  15,   2.344970
 400, 20,  16,   2.748620
 400, 20,  17,   1.862636
 400, 20,  18,   2.277551
 400, 20,  19,   1.953051
 400, 20,  20,   1.842357
 400, 20,  21,   2.165213
